rank	candidate_id	title	buyer	deadline	value	currency	band	reasons	scope_dce	term_value_dce	deep_batch
517	US-SAM:2b1509f8d9d6497c9d501215a1989775	Tahoe National Forest Prospectus for Concessions and related Granger-Thye Concessions	AGRICULTURE, DEPARTMENT OF	2026-09-07T23:30:00+00:00			LOW		ent .................................................................................. 14 D. Insurance ............................................................................................................................. 15 IV. Applications ..................................................…	sitors at each developed recreation site covered by this prospectus (see Appendix 6 of the prospectus). Prospectus for Campground and Related Granger-Thye Concessions, Tahoe National Forest Previous edition obsolete 10 I. Performance Evaluations At a minimum, the Forest Service will perform a year-…	batch-051.json
518	US-SAM:362f60527d59441981e358f7e8c7c33b	Indefinite-Delivery/Indefinite-Quantity (ID/IQ) Small Business Environmental Remedial Action Contract for Sites in Hawaii, Guam, and Other Areas within the Naval Facilities Engineering Systems Command Pacific Area of Responsibility VI (SBRAC VI)	DEPT OF DEFENSE	2026-09-10T00:00:00+00:00			LOW		===== FILE: files/J.10_Key_Personnel_Experience_Qualifications.docx ===== ATTACHMENT J.10: OFFEROR’S KEY PERSONNEL EXPERIENCE/QUALIFICATIONS Provide the following information, on separate sheets, to demonstrate the key personnel’s (Program Manager, Senior Project Manager, Contract Administration Ma…	pe of work | Clear description of the contract/task order scope of work | Key personnel’s role in project, (i.e. Project Manager, H&S Specialist, etc.) | Key personnel’s role in project, (i.e. Project Manager, H&S Specialist, etc.) | Clear description of the duties performed by the key personnel fo…	batch-051.json
519	US-SAM:6ee3b468916a481abce174db444f232b	FC294 Bay Doors, 1606 Fire Exit Doors, G640 Freezer Doors, 67 Wall and Door, WC100 Remote Condensing Unit	DEPT OF DEFENSE	2026-09-10T18:00:00+00:00			LOW		Demo existing six existing bay doors. FC294 is an active Fire Department and will be active during the construction of new door installation, one side of bay shall be completed before the other side is started. Contractor shall install a new complete bays door with all new equipment, Curver rails, …	l meetings. The superintendent or qualified alternative must be on-site at all times during the performance of this contract until the work is completed and accepted. 1.7.4 Non-Compliance Actions The Project Superintendent is subject to removal by the Contracting Officer for non-compliance with req…	batch-051.json
520	US-SAM:c9c1ca45da4d49db89cf842d18f8920f	Immune Mechanisms of Protection Against Mycobacterium tuberculosis Center (IMPAc-TB)	HEALTH AND HUMAN SERVICES, DEPARTMENT OF	2026-09-01T19:00:00+00:00			LOW		ce sites (e.g. Collaborating Institutions, Subcontractors, Subgrantees) without OLAW-approved assurances, whether domestic or foreign. Question 3 Please clarify if we can use our own preferred format for the Curriculum Vitae (CV) required for all scientific personnel (BAA p.141); or if we are requi…	onically using the HHS’ Small Business Customer Experience (SBCX) system (pg. 31) – does this apply to the subawards that are part of a collaborative program involving multiple sites under a Co-ordinating Center? Are these considered subcontracts under the Prime Contractor and as such should they b…	batch-051.json
521	US-SAM:9bff020a2e3048ac90d61f6333a45902	The VA North Texas Health Care system requires community based Outpatient clinic (CBOC))	VETERANS AFFAIRS, DEPARTMENT OF	2026-08-31T21:00:00+00:00			LOW		logy ...........................................................................................................................145 OTHER SITES: Arterial Blood Gas Labs ....................................................................................................... 149 Fort Worth Outpatient …	B. By the end of the clinic session, the clerk/PSA will provide a list of patients who no- showed for their scheduled appointments to the responsible provider, surrogate or designated team member, who will review each patient’s medical record, including any consult or procedure request received or …	batch-052.json
522	US-SAM:507f2a6ec1a54a7fb6fe647be47965d2	Solicitation for a Concessions Business Opportunity for Craft Sales and Retail at the Northwest Trading Post within Blue Ridge Parkway	INTERIOR, DEPARTMENT OF THE	2026-09-17T16:00:00+00:00			LOW		ws, Regulations, Policies, and Standards AVAILABLE UPON REQUEST Previous Concession Contract CC-BLRI002-13 ===== FILE: files/05_CC-BLRI002-27_Proposal_Instructions.pdf ===== V02.04.2026 PART II PROPOSAL INSTRUCTIONS UNITED STATES DEPARTMENT OF THE INTERIOR NATIONAL PARK SERVICE Blue Ridge Parkway P…	mprovements .............................................................................. 12 (c) Leasehold Surrender Interest ................................................................................................ 12 SEC. 10. MAINTENANCE ...................................................…	batch-052.json
523	ZA_ETENDERS_OCDS:ocds-9t57fa-165194-2026-08-11	TASEZ/RFP010/2026	TSHWANE AUTOMOTIVE SPECIAL ECONOMIC ZONE	2026-09-01T12:00:00+00:00		ZAR	LOW		ce (All Inclusive) R Appointment of a Service Provider for the Provision of Private Cloud Hosting Services, Infrastructure, and Software Licenses to TASEZ for a Period of Three (3) Years. Document No: TAS-FSC-RFP02 Revision No: 02 Effective Date: May 2022 RFP NO: TASEZ/RFP010/2026 PAGE 2 OF 62 Bidd…	.............................................. 5 3. SCOPE OF WORK .................................................................................................................................. 16 4. INSTRUCTION TO BIDDERS .........................................................................…	batch-052.json
524	US-SAM:b8b0b25d9aa2405597740357d4cd02c3	Financial Management - Financial Improvement Audit Remediation (FIAR)	DEPT OF DEFENSE	2026-08-31T06:00:00+00:00			LOW		to position vacancies or unqualified personnel. | Performance is marginal when key personnel vacancies are filled with qualified personnel within 30 calendar days of vacancy, unless approved in writing or otherwise directed in advance by the CO, AND there is no mission impact due to position vacanc…	quire rework | Performance is very good when 95% of deliverables are received on time AND do not require rework | Performance is satisfactory when 90% of deliverables are received on time AND do not require rework | Performance is marginal when 85% of deliverables are received on time AND do not re…	batch-052.json
525	TED:487660-2026	Belgium – Database services – Technische regie bij inrichting operationeel datamodel Maritieme Toegang	Vlaamse Overheid	2026-09-23T02:00:00+00:00			LOW		eit en Openbare Werken AFDELING Maritieme Toegang Openbare procedure voor de aanneming van diensten Bestek nr. DMOW/MT/03115 Technische regie bij inrichting operationeel datamodel Maritieme Toegang AANBESTEDENDE OVERHEID Vlaamse overheid Departement Mobiliteit en Openbare Werken Maritieme Toegang L…	................................................. 9 Hoofdstuk 4. Verloop van de procedure ........................................................................................ 9 Afdeling 1. Voorbereiding ............................................................................................…	batch-052.json
526	TED:572565-2026	Germany – Counselling services – 10001110-Monitoring, Evaluation, Learning and Communications support to the GIZ Eastern Caribbean portfolio of projects	Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ) GmbH	2026-09-10T23:59:59+02:00			LOW		public sector pricing applies. The tender consists of the following documents, which must be submitted in full: • Self-declaration of eligibility with attachments • Technical bid (including concepts and CVs) • Price bid • Declaration by candidate/bidding consortium (if relevant) • Declaration of el…	• Annex on the outsourcing of data processing agreements in accordance with Article 28 of the GDPR Page 2/3 Page 2/3 Please submit your tender by 12:00 noon (Berlin, Germany time zone) on 15.09.2026. Please submit your tender in English in accordance with the requirements stipulated in the procurem…	batch-052.json
527	MT-EPPS:13988922	CT2316/2026 - Tender for the Provision of Operational Support Services for Service Users Residing in Birzebbuga Falling under the remit of Aġenzija Sapport - Re issue CT2136/2026	Department of Contracts	2026-09-11T09:30:00+02:00	1043340.0	EUR	LOW		/08/2026 12:44 +02:00 Languages in which this notice is officially available: English https://ted.europa.eu/TED Page 4/4 ===== FILE: files/1000_13988922_unpacked/1_c4t_13988922_1.xml ===== <c4t procedure="open" eval-type="prompt.lowest.price" num-of-lots="0" cftid="13988922" round="1" offset-24="fa…	ssue CT2136/2026 5.1.1 Purpose Main nature of the contract: Services Main classification (cpv): 80000000 Education and training services Additional classification (cpv): 80500000 Training services Additional classification (cpv): 80510000 Specialist training services Additional classification (cpv)…	batch-052.json
528	TED:521441-2026	France – Software package and information systems – 26_04_BIS_Accord-cadre de distribution, de pilotage opérationnel et d'optimisation des environnements Microsoft26_04_BIS_ DISTRI MICROSOFT	CAIH	2026-09-21T02:00:00+00:00	995000000.0	EUR	LOW		DISTRI_MICROSOFT_Annexe 3 RC Trame de memoire technique impose.docx ===== ANNEXE 3 – CADRE DE RÉPONSE TECHNIQUE IMPOSÉ Le présent mémoire technique constitue le document principal d’analyse des offres. Le candidat doit impérativement respecter la structure et l’ordre des chapitres ci-après. Toute r…	| | mensuel | | EP2-79439/RampUp2 | | | M365 E7 Unified Sub Per User (RampUp Year 3) | | | mensuel | | EP2-79439/RampUp3 | | | M365 E5 Unified Sub Per User | | | mensuel | | AAD-33168 | | | M365 E5 Unified SU M365 E3 Sub Per User | | | | | AAD-33196 | | | M365 E5 Unified Sub Per User (RampUp Year 1…	batch-052.json
529	TED:503672-2026	Ireland – Installation services (except software) – TR5491 - Rigging and Field Area Network (FAN) Services pursuant to a framework agreement	Electricity Supply Board ( ESB )	2026-09-10T12:00:00+01:00	6500000.0	EUR	LOW		===== FILE: files/1363_8680421_unpacked/1363_8680421.pdf ===== List of Contract Documents #Addenda ID N/A Status Final Title Tender Structure XML - Cycle 1 File Associated :<1_c4t_8680421_1.xml > #Addenda ID 1 Status Final Title TR5491 Pre-Qualification Questionnaire (PQQ) File Associated :<2_TR549…	d equipment mounting designs Creation & uploading of detailed Handover Documentation (HOD) with high resolution photos on completion of all build works Faults and weather-related damage to telecoms network equipment (microwave, RF antenna, cables & satellite) with quick response times. Satellite in…	batch-052.json
530	TED:580570-2026	Ireland – Industrial control software package – Single Party Framework Agreement for the provision of The Supply and Support of a Digital Engineering Software Platform to Kildare Wicklow Education and Training Board.	Kildare and Wicklow Education and Training Board	2026-09-04T12:00:00+01:00	15000000.0	EUR	LOW		ked/3. Automation 2.1 Software Submission/1. Request for Tender for Digital Engineering Software.pdf ===== GoodsRFT160125 1 Request for Tenders dated 19th August 2026 to establish a Single Party Framework Agreement for the provision of The Supply and Support of a Digital Engineering Software Platfo…	nts The framework agreement will be established a single-party framework agreements with the top scoring admissible tenderer, identified following the assessment of the qualitative criteria for selection, compliance with minimum specification requirements and the award criteria. open procedure unde…	batch-052.json
531	TED:531925-2026	Germany – Medical information systems – Portal zur Freigabe medizinischer Bilddaten	Vivantes - Netzwerk für Gesundheit GmbH	2026-09-01T02:00:00+00:00			LOW		===== FILE: files/Vergabeunterlagen_CXP4Y67MGH2_unpacked/anschreiben/Vergabeunterlagen_unpacked/Anlage 1 Leistungsbeschreibung Bilddatenfreigabeportal.pdf ===== Leistungsbeschreibung Bilddatenfreigabeportal Vivantes – Netzwerk für Gesundheit GmbH Leistungsbeschreibung Portal zur Freigabe medizinisc…	e unterschrieben werden. Darüber hinaus wird die erforderliche Zuarbeit für die Erstellung oder Anpassung von Unterlagen für Prüfungen durch den Vivantes Datenschutz und Informationssicherheit sowie für den Mitbestim- mungsprozess zugesichert. 6.2 Systemvertrag Als Vertragsgrundlage kommt der beige…	batch-053.json
532	TED:587229-2026	Belgium – Computer-related services – Abonnement tot software licenties voor de organisatie van X-Ray Examens	SPF Mobilité et Transports	2026-09-29T02:00:00+00:00			LOW		===== FILE: files/3217535b-e72b-4e6b-9bf5-8ebe317a038f_unpacked/IT20273042_pub01/Bestek NL_organisatie X-Ray examens_Signed.pdf ===== Bestek met betrekking tot abonnement tot software licenties voor de organisatie van X-Ray Examens | 2/33 Inhoudstafel A. ALGEMENE BEPALINGEN 4 1. Voorwerp en aard va…	e de offerte met de laagste prijs heeft ingediend, nadat de aanbestedende overheid ten aanzien van deze inschrijver de juistheid van de verklaring in het kader van het Uniform Europees Aanbestedingsdocument (UEA) heeft gecontroleerd. De vergelijking van de offertes gebeurt op basis van de som van d…	batch-053.json
533	TED:476280-2026	Belgium – Database services – Mission ocean, seas and waters implementation support platform - 2nd phase	European Climate, Infrastructure and Environment Executive Agency (CINEA), CINEA - European Climate, Infrastructure and Environment Executive Agency	2026-09-02T02:00:00+00:00	1700000.0	EUR	LOW		of damage or payment of fines or of any taxes or social security contributions. Without prejudice to the assessment of the authorising officer responsible, the person or entity shall submit remedial measures that have been assessed by an external independent auditor or have been considered sufficie…	liament and of the Council; | | (v) terrorist offences or offences related to terrorist activities as defined in Articles 3 to 12 of Directive (EU) 2017/541 of the European Parliament and of the Council, or inciting, aiding, abetting or attempting to commit such offences, as referred to in Article …	batch-053.json
534	TED:576881-2026	Belgium – Market research services – Sectorale praktijktesten als meting van aanwervingsdiscriminatie op de arbeidsmarkt	Vlaamse Overheid	2026-09-18T02:00:00+00:00			LOW		d Beleidsdomein Kanselarij, Bestuur, Buitenlandse zaken en Justitie Agentschap Binnenlands Bestuur Openbare procedure voor diensten Bestek nr. WEWIS_Praktijktesten_29072026 Sectorale praktijktesten als meting van aanwervingsdiscriminatie op de arbeidsmarkt Limietdatum en limietuur voor ontvangst va…	g te vinden op de website van de FOD Economie, K.M.O., Middenstand en Energie: https://statbel.fgov.be/nl/themas/consumptieprijsindex/gezondheidsindex#documents Ingaan nieuwe prijzen – aanvraag door de dienstverlener De herzieningen worden enkel toegepast na geldige aanvraag die door de aanbesteden…	batch-053.json
535	MT-EPPS:13982335	SPD8/2026/081 - TENDER FOR THE PROVISION AND DELIVERY OF VERY HIGH RESOLUTION (VHR) SATELLITE DATA FOR A PERIOD 2027 TO 2029	Sectoral Procurement Directorate	2026-09-11T09:30:00+02:00	60000.0	EUR	LOW		ded-in-evaluation="1" type="file"> <label><![CDATA[Please upload the relevant Literature as per Article 5(c)(ii) and the Literature List]]></label> <threshold>100</threshold> <value/> </criterion> <criterion level="2" pos="3" id="1749466638704" mandatory="1" included-in-evaluation="1" type="list" a…	DATA FOR A PERIOD 2027 TO 2029 5.1.1 Purpose Main nature of the contract: Supplies Main classification (cpv): 48328000 Image­processing software package Additional classification (cpv): 71354200 Aerial mapping services Additional classification (cpv): 71355100 Photogrammetry services Additional cla…	batch-053.json
536	US-SAM:1afdaae901324ba4ac4f580638ddb03f	Modernized VAERS Reporting Application	HEALTH AND HUMAN SERVICES, DEPARTMENT OF	2026-09-04T14:00:00+00:00			LOW		9/04/2026 10 AM ET IMPORTANT: This is a request for information, and quotations furnished are not offers. If you are unable to quote, please so indicate on this form and return it. This request does not commit the Government to pay any costs incurred in the preparation of the submission of this quo…	lability of government information and government information systems for wh ich the Contractor is responsible under this contract or to which the Contractor may otherwise have access under this contract. Obtain all applicable security and privacy policies by contacting the CO/COR or CDC security a…	batch-053.json
537	TED:536425-2026	Belgium – Software support services – Hernieuwing van onderhoud en support van IBM software	Smals	2026-09-28T02:00:00+00:00	740000.0	EUR	LOW		===== FILE: files/d812e4d0-8517-4537-9e28-f0bb5d2881e7_unpacked/Smals-BB-001.022_2026_pub01/Bestek_unpacked/Cahier des charges/DUME - UEA/UEA_DUME.docx ===== Comment télécharger et compléter le DUME ? DUME = Document Unique de Marché Européen Le Document unique de marché européen (DUME) est une aut…	ensten/producten worden verzekerd door de onderaannemer? | . Jaar | Totaal omzetcijfer in EUR | Specifiek jaarlijks omzetcijfer in EUR 2025 | . | . 2024 | . | . 2023 | . | . Jaar | Totaal omzetcijfer in EUR | Specifiek jaarlijks omzetcijfer in EUR 2025 | . | . 2024 | . | . 2023 | . | . Gelijkaardig…	batch-053.json
538	TED:515263-2026	France – Software support services – TIERCE MAINTENANCE APPLICATIVE DE LA PLATEFORME MES DEMARCHES EN NOUVELLE-AQUITAINE (PORTAIL DE GESTION DES SUBVENTIONS REGIONALES ET EUROPEENNES) ET DE SES COMPOSANTS	Région Nouvelle-Aquitaine	2026-09-21T02:00:00+00:00			LOW		.................................................................................... 4 1.2 - Mode de passation ............................................................................................................... 4 1.3 - Type et forme de contrat ...........................................…		batch-053.json
539	US-SAM:13c5025dc0d24a21911318dc2266946d	ServiceNow Enterprise Platform Implementation & Managed Adoption Services	DISTRICT OF COLUMBIA COURTS	2026-09-10T17:00:00+00:00			LOW		st 21, 2026 510 4TH STREET, NW, BUILDING B, SUITE 323 OPENING TIME: 9:00 am EDT WASHINGTON, DC 20001 CLOSING DATE: Sept. 10, 2026 SOLICITATION NUMBER: DCSC-26-RFP-118 CLOSING TIME: 1:00 pm EDT OFFER/BID FOR: ServiceNow Enterprise Platform Implementation MARKET TYPE: OPEN & Managed Adoption Services…	erating Model; Administrative Runbooks; Technical Runbooks; Knowledge Transfer Materials; Transition‑to‑Oper ations Plan; Final Stabilization Report; hypercare duration 30–60 days with exit criteria Post‑producti on stabilization, triage, monitoring, KT, handover to operations. M12: Cutover & go‑li…	batch-053.json
540	TED:527760-2026	Ireland – Software supply services – Asset Management Platform	The Land Development Agency	2026-08-31T12:00:00+01:00	5800000.0	EUR	LOW		===== FILE: files/84176_8746621_unpacked/1_PQQ_Vol_1_Asset_Management_Platform_Pro410.pdf ===== Pre-Qualification Questionnaire Volume 1 Asset Management Platform Document Control Reference Pro410 CFT: 8746621 Procedure Competitive Procedure with Negotiation Type Single-supplier contract for a Soft…	ysis and forecasting; (g) Document management – a central repository for leases, agreements, compliance certificates and invoices, linked to property, tenant and vendor records, with version control, retention policies and permissions, compliant with GDPR; which includes automated data lifecycle ma…	batch-053.json
541	TED:512719-2026	Belgium – Software package and information systems – Licences DAO - AUTODESK	Entreprise des Technologies nouvelles de l'information et de la communication de la communauté française	2027-07-06T02:00:00+00:00			LOW		annexe formule une série d’exigences essentielles. Il revient à l’adjudicataire de prendre les mesures nécessaires afin d’assurer ces impératifs. Étant donné la variété et l’hybridation des marchés, ces clauses s’appliquent de manière totale ou partielle en fonction des contextes repris ci-dessous …	le et enregistrement des accès (gardiennage, sas, moyen d'identification, etc.) ; protection physique des équipements (verrouillage des baies, etc.). ===== FILE: files/9c933e94-4669-4a1b-b816-818d8df895d0_unpacked/2026_2218_pub01/2026-2218 - Annexe 5.4 -Droit de propriété intellectuelle..docx =====…	batch-054.json
542	US-SAM:4750111c03434284a4ec46666ece8352	National Center on Law and Elder Rights (NCLER)	HEALTH AND HUMAN SERVICES, DEPARTMENT OF	2026-09-10T21:00:00+00:00			LOW		DATE DELIVERY FOR FREE ON BOARD (FOB) DESTINATION UNLESS BLOCK IS MARKED 11. SEE SCHEDULEX 12. DISCOUNT TERMS THIS CONTRACT IS A RATED ORDER UNDER THE DEFENSE PRIORITIES AND ALLOCATIONS SYSTEM - DPAS (15 CFR 700) 13a. SERVICE-DISABLED VETERAN-OWNED SMALL BUSINESS (SDVOSB) HUBZONE SMALL BUSINESS 8(A…	ervices, facilities, and otherwise do all things necessary for or incident to the performance of the work set forth herein. B.2 TYPE OF CONTRACT The contract type awarded is a Hybrid Type Contract (Firm Fixed Price/Labor Hour) B.3 SEVERABLE SERVICES The services acquired under this contract are sev…	batch-054.json
543	TED:539429-2026	Germany – Software package and information systems – Lieferung von Softwarelizenzen der Hersteller Broadcom und Omnissa	Landratsamt Weilheim-Schongau	2026-08-27T00:00:00+02:00			LOW		glich eingesetzte Unterauftragnehmer .......................................................... 23 5.14 Kündigung ..................................................................................................................... 23 5.15 Optionen ..................................................…	m Enterprise-Umfeld, -Kenntnisse in der Anwendung herstellerspezifischer Lizenzbedingungen, Lizenzmetriken und Vertragsmodelle. Die Nachweise sind durch geeignete Unterlagen zu belegen, insbesondere: -Lebenslauf mit Darstellung einschlägiger Projekte, -Projektübersichten oder Referenzen, -Herstelle…	batch-054.json
544	TED:521007-2026	Germany – Passenger cars – Standardfahrzeuge - Allrad Geländewagen mit Bezinmotor	Zentraldienst der Polizei des Landes Brandenburg	2026-08-28T23:59:59+02:00			LOW		lle Optionen angeboten werden. (siehe auch Pos 11.1) Kauf und Leasing: Die Bedarfsstellen haben nach Abruf die Wahlmöglichkeit zwischen dem Fahrzeugkauf und verschiedenen Leasinglaufzeiten (24, 36 und 48 Monate) und den Kilometerlaufleistungen 15.000 und 25.000 km. Es sind alle Kauf und Leasingvari…	Bedingungen der Rahmenvereinbarung behalten unabhängig vom Erreichen der Höchstmenge weiterhin Ihre Gültigkeit. Hinsichtlich der Bedarfsmengen ist nachstehender Umstand unbedingt zu beachten. Die Abrufe erfolgen durch die berechtigten Bedarfsstellen dann im Einzelabrufverfahren. Da die Bedarfsstell…	batch-054.json
545	TED:497492-2026	France – Accommodation, building and window cleaning services – Marché de prestations multi-services de nettoyage de locaux et de blanchisserie (2 lots) pour l’Ecole Nationale de Police (ENP), le Centre de Rétention Administrative (CRA) et autres services du m	SGAMI Ouest	2026-09-30T02:00:00+00:00	2195000.0	EUR	LOW		===== FILE: files/DCE_proprete_76_unpacked/DCE_proprete_76/20260717_CCAP_proprete_76.pdf ===== MARCHÉ FOURNITURES ET SERVICES Appel d’offres ouvert (articles L.2124-1 et L.2124-2, R.2124-1 et R.2124-2 et R.2161-1 à R.2161-5 du Code de la commande publique) Marché de prestations multi-services de ne…	......................................................6 1.3.2 Allotissement....................................................................................................................................6 1.3.3 Lot n°2 - Blanchisserie passé sous forme de lot réservé.............................…	batch-054.json
546	TED:386356-2026	France – Preservation services of exhibits – Accord-cadre de conservation et restauration d'oeuvres d'art	Ets public Musées Orsay et Orangerie	2026-09-01T02:00:00+00:00			LOW		les peintures, les dessins et les photographies). Les lots 1, 2, 3, 5, 8 et 9 feront l’objet d’un forfait, mais pourront également, selon les besoins, être sollicités par bon de commande par le service des expositions pour réaliser notamment des restaurations fondamentales ou légères, les aller -vo…	a déclaration de sous-traitance (DC4), le cas échéant ; Annexe 3 : les pouvoirs donnés au mandataire en cas de groupement ; Le cahier des clauses administratives particulières (CCAP) commun à l’ensemble des lots comprenant un forfait (lots 1, 2, 3, 5, 8 et 9) ; Le cahier des clauses techniques part…	batch-054.json
547	TED:610321-2025	Germany – Urban railway works – SV-NFI-210707-003 - Laufwegerneuerung, Qualifizierungssystem für Bauleistung	Stadtwerke München GmbH				LOW		ung (PDF, 297 KB) Leistungsverzeichnis (PDF, 2 MB) Referenznummer: SV-FLA-260731-004 Objekt: PRS: Neukonzeption Sauna Prinzregentenstadion Leistung: Fassadenarbeiten Ausschreibungsart: Offenes Verfahren nach VOB/A Abschnitt 2 Einreichungsfrist: 07.09.2026 um 14:00 Uhr Bekanntmachung (PDF, 148 KB) E…	er Auftraggeber einer Bekanntgabe vorher nicht schriftlich zugestimmt hat, vertraulich zu behandeln und geheim zu halten und nur für die Ausführung der Leistungen zu nutzen und nicht an Dritte, weder vollständig noch teil- weise noch in sonstiger Weise weiterzugeben, sowie allen Personen, die im Ra…	batch-054.json
548	TED:330106-2025	Ireland – Services furnished by business, professional and specialist organisations – TII473 MetroLink Programme Steering Committee - External Member Qualification System	Transport Infrastructure Ireland (TII)				LOW		the relevant question, where there is any reference in the PQQ to experience within a previous number of years, this means experience gained within the relevant multiple of consecutive twelve-month periods occurring prior to the date of issue of the OJEU notice. Pre-Qualification Questionnaire Tend…	The Chairperson is being selected through a separate though similar procurement process. The individual External Members will be required to possess and materially contribute specified Experience (“General”, “Commercial” “Technical”) to ensure the required collective Experience is present in the Pr…	batch-054.json
549	TED:232791-2026	Germany – Insulated cable accessories – Präqualifikationsverfahren für Kabeltechnik	EAM GmbH & Co KG				LOW		B | Haltung, Transportkanal | Mischwassersystem | Kreisprofil | 300 | 300 | Beton | 16.4 | 0 | Abwasser | Cornberg | Rockensüß | | | 20006634 | 700 | x | KR2000 | Unbekannt | DN 500 B | Haltung, Transportkanal | Regenwassersystem | Kreisprofil | 500 | 500 | Beton | 67.97 | 49.87 | Abwasser | Cornbe…	- destens jeweils 2.000.000 € je Schadensfall für • Personen-, • Sach- • und Vermögensschäden (maximal jedoch das doppelte der genannten Summe je Versicherungsjahr) oder eine Erklärung, dass der Bewerber/jedes Mitglied einer Bewerbergemeinschaft eine solche Versi- cherung spätestens bis zum Zuschla…	batch-054.json
550	TED:263884-2025	Germany – Tubes and fittings – Präqualifikationsverfahren für Kabelschutzrohre	EAM GmbH & Co KG				LOW		B | Haltung, Transportkanal | Mischwassersystem | Kreisprofil | 300 | 300 | Beton | 16.4 | 0 | Abwasser | Cornberg | Rockensüß | | | 20006634 | 700 | x | KR2000 | Unbekannt | DN 500 B | Haltung, Transportkanal | Regenwassersystem | Kreisprofil | 500 | 500 | Beton | 67.97 | 49.87 | Abwasser | Cornbe…	- destens jeweils 2.000.000 € je Schadensfall für • Personen-, • Sach- • und Vermögensschäden (maximal jedoch das doppelte der genannten Summe je Versicherungsjahr) oder eine Erklärung, dass der Bewerber/jedes Mitglied einer Bewerbergemeinschaft eine solche Versi- cherung spätestens bis zum Zuschla…	batch-054.json
551	TED:281347-2026	Germany – Street-lighting columns – Präqualifikationsverfahren für Lichtmaste (Straßenbeleuchtung)	EAM GmbH & Co KG				LOW		B | Haltung, Transportkanal | Mischwassersystem | Kreisprofil | 300 | 300 | Beton | 16.4 | 0 | Abwasser | Cornberg | Rockensüß | | | 20006634 | 700 | x | KR2000 | Unbekannt | DN 500 B | Haltung, Transportkanal | Regenwassersystem | Kreisprofil | 500 | 500 | Beton | 67.97 | 49.87 | Abwasser | Cornbe…	- destens jeweils 2.000.000 € je Schadensfall für • Personen-, • Sach- • und Vermögensschäden (maximal jedoch das doppelte der genannten Summe je Versicherungsjahr) oder eine Erklärung, dass der Bewerber/jedes Mitglied einer Bewerbergemeinschaft eine solche Versi- cherung spätestens bis zum Zuschla…	batch-055.json
552	TED:280680-2026	Germany – Road lights – Präqualifikationsverfahren für Technische Leuchten (LED-Leuchten)	EAM GmbH & Co KG				LOW		B | Haltung, Transportkanal | Mischwassersystem | Kreisprofil | 300 | 300 | Beton | 16.4 | 0 | Abwasser | Cornberg | Rockensüß | | | 20006634 | 700 | x | KR2000 | Unbekannt | DN 500 B | Haltung, Transportkanal | Regenwassersystem | Kreisprofil | 500 | 500 | Beton | 67.97 | 49.87 | Abwasser | Cornbe…	- destens jeweils 2.000.000 € je Schadensfall für • Personen-, • Sach- • und Vermögensschäden (maximal jedoch das doppelte der genannten Summe je Versicherungsjahr) oder eine Erklärung, dass der Bewerber/jedes Mitglied einer Bewerbergemeinschaft eine solche Versi- cherung spätestens bis zum Zuschla…	batch-055.json
553	TED:283433-2026	Germany – Tubes and fittings – Präqualifikationsverfahren für Kabelschutzrohre	EAM GmbH & Co KG				LOW		B | Haltung, Transportkanal | Mischwassersystem | Kreisprofil | 300 | 300 | Beton | 16.4 | 0 | Abwasser | Cornberg | Rockensüß | | | 20006634 | 700 | x | KR2000 | Unbekannt | DN 500 B | Haltung, Transportkanal | Regenwassersystem | Kreisprofil | 500 | 500 | Beton | 67.97 | 49.87 | Abwasser | Cornbe…	- destens jeweils 2.000.000 € je Schadensfall für • Personen-, • Sach- • und Vermögensschäden (maximal jedoch das doppelte der genannten Summe je Versicherungsjahr) oder eine Erklärung, dass der Bewerber/jedes Mitglied einer Bewerbergemeinschaft eine solche Versi- cherung spätestens bis zum Zuschla…	batch-055.json
554	TED:577288-2026	France – Medical consumables – Fourniture de dispositifs médicaux de radiologie interventionnelle et de chirurgie vasculaire pour le Centre hospitalier Bretagne Atlantique et le Centre hospitalier de Ploërmel	Centre hospitalier Bretagne Atlantique	2026-09-24T02:00:00+00:00	2468600.0	EUR	LOW		s ...................................................................................................................................... 18 15.4. Essais ..................................................................................................................................................…	bilité de signer un acte d’engagement par opérateur économique, pouvant regrouper plusieurs lots. 5.2. Options Au sens du Droit communautaire, les options sont les suivantes : Le marché public comporte des tranches optionnelles : Oui Non Conformément à l’article R2122-7 du Code de la commande publi…	batch-055.json
555	TED:577689-2026	France – Refurbishment work – FONTAINEBLEAU (77) - Quartier Carrousel - EME - Rénovation des bâtiments 001 et 005	SID IDF	2026-09-03T02:00:00+00:00			LOW		couverture par le lot 03 (inspection des matériaux, rapport…) - Révision de la charpente bois existante du bâtiment n°005 avec changement complet ou partiel des éléments constitutifs - Redressage de la charpente pour présenter des versants de couverture plan et rectiligne aptes à recevoir une couve…	TION - Emploi de personnes en difficulté En application de l’article L.2212-2 du Code de la commande publique, je m’ENGAGE ou j’ENGAGE le groupement dont je suis mandataire à promouvoir dans le cadre de l’exécution des prestations du présent marché, l’emploi de personnes rencontrant des difficultés…	batch-055.json
